2.3.0	fr.insee.trevas	vtl-model	2.3.0
2.2.0	fr.insee.trevas	vtl-model	2.2.0
2.1.0	fr.insee.trevas	vtl-model	2.1.0
2.0.0	fr.insee.trevas	vtl-model	2.0.0
1.12.0	fr.insee.trevas	vtl-model	1.12.0
1.11.0	fr.insee.trevas	vtl-model	1.11.0
1.10.0	fr.insee.trevas	vtl-model	1.10.0
1.9.0	fr.insee.trevas	vtl-model	1.9.0
1.4.1	fr.insee.trevas	vtl-model	1.4.1
1.4.0	fr.insee.trevas	vtl-model	1.4.0
1.3.1	fr.insee.trevas	vtl-model	1.3.1
1.3.0	fr.insee.trevas	vtl-model	1.3.0
1.2.0	fr.insee.trevas	vtl-model	1.2.0
1.1.1	fr.insee.trevas	vtl-model	1.1.1
1.1.0	fr.insee.trevas	vtl-model	1.1.0
1.0.2	fr.insee.trevas	vtl-model	1.0.2
1.0.1	fr.insee.trevas	vtl-model	1.0.1
1.0.0	fr.insee.trevas	vtl-model	1.0.0
0.4.8	fr.insee.trevas	vtl-model	0.4.8
0.4.7	fr.insee.trevas	vtl-model	0.4.7
0.4.6	fr.insee.trevas	vtl-model	0.4.6
0.4.5	fr.insee.trevas	vtl-model	0.4.5
0.4.4	fr.insee.trevas	vtl-model	0.4.4
0.4.3	fr.insee.trevas	vtl-model	0.4.3
0.4.2	fr.insee.trevas	vtl-model	0.4.2
0.4.1	fr.insee.trevas	vtl-model	0.4.1
0.4.0	fr.insee.trevas	vtl-model	0.4.0
0.3.0	fr.insee.trevas	vtl-model	0.3.0
0.2.1	fr.insee.trevas	vtl-model	0.2.1
0.2.0	fr.insee.trevas	vtl-model	0.2.0
0.1.2	fr.insee.trevas	vtl-model	0.1.2
0.1.1	fr.insee.trevas	vtl-model	0.1.1
0.1.0	fr.insee.trevas	vtl-model	0.1.0
