1.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.10/nut-tomcat-1.0.10.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.11/nut-tomcat-1.0.11.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.12/nut-tomcat-1.0.12.jar returned status 404
1.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.13/nut-tomcat-1.0.13.jar returned status 404
1.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.14/nut-tomcat-1.0.14.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.15/nut-tomcat-1.0.15.jar returned status 404
1.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.16/nut-tomcat-1.0.16.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.17/nut-tomcat-1.0.17.jar returned status 404
1.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.18/nut-tomcat-1.0.18.jar returned status 404
1.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.19/nut-tomcat-1.0.19.jar returned status 404
1.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.20/nut-tomcat-1.0.20.jar returned status 404
1.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.21/nut-tomcat-1.0.21.jar returned status 404
1.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.22/nut-tomcat-1.0.22.jar returned status 404
1.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.23/nut-tomcat-1.0.23.jar returned status 404
1.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.24/nut-tomcat-1.0.24.jar returned status 404
1.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.25/nut-tomcat-1.0.25.jar returned status 404
1.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.26/nut-tomcat-1.0.26.jar returned status 404
1.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.27/nut-tomcat-1.0.27.jar returned status 404
1.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.28/nut-tomcat-1.0.28.jar returned status 404
1.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.29/nut-tomcat-1.0.29.jar returned status 404
1.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.30/nut-tomcat-1.0.30.jar returned status 404
1.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.31/nut-tomcat-1.0.31.jar returned status 404
1.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.32/nut-tomcat-1.0.32.jar returned status 404
1.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.33/nut-tomcat-1.0.33.jar returned status 404
1.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.34/nut-tomcat-1.0.34.jar returned status 404
1.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.35/nut-tomcat-1.0.35.jar returned status 404
1.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/yeskery/nut/nut-tomcat/1.0.36/nut-tomcat-1.0.36.jar returned status 404
