$%7Brevision%7D			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/languagetool/language-all/$%7Brevision%7D/language-all-$%7Brevision%7D.jar returned status 404
2.1		2013-04-01T14:20:31Z	
2.2		2013-06-30T14:32:25Z	
2.3.1		2013-10-03T18:22:17Z	
2.4		2013-12-30T10:55:47Z	
2.5		2014-03-31T09:19:36Z	
2.6		2014-06-30T09:03:41Z	
2.7		2014-09-29T09:36:48Z	
2.8		2014-12-30T10:30:21Z	
2.9		2015-03-30T08:50:51Z	
3.0		2015-06-29T09:09:25Z	
3.1		2015-09-28T09:32:05Z	
3.2		2015-12-29T10:01:49Z	
3.3		2016-03-28T08:50:11Z	
3.4		2016-06-27T08:41:36Z	
3.5		2016-09-30T08:56:44Z	
3.6		2016-12-28T14:13:51Z	
3.7		2017-03-27T10:06:46Z	
3.8		2017-06-27T09:57:37Z	
3.9		2017-09-26T09:35:17Z	
4.0		2017-12-29T09:43:41Z	
4.1		2018-03-27T10:21:55Z	
4.2		2018-06-26T11:39:08Z	
4.3		2018-09-26T11:52:17Z	
4.4		2018-12-27T12:54:05Z	
4.5		2019-03-26T11:24:06Z	
4.6		2019-06-26T07:06:11Z	
4.7		2019-09-28T12:18:54Z	
4.8		2019-12-27T12:58:00Z	
4.9		2020-03-24T12:51:32Z	
5.0		2020-06-26T21:20:39Z	
5.1		2020-09-25T12:15:10Z	
5.2		2020-12-29T15:39:54Z	
5.3		2021-03-29T10:20:27Z	
5.4		2021-06-25T11:58:27Z	
5.5		2021-10-02T10:42:04Z	
5.6		2021-12-29T13:40:39Z	
5.7		2022-03-30T08:07:52Z	
5.8		2022-07-02T14:09:24Z	
5.9		2022-09-28T14:03:32Z	
6.0		2022-12-29T11:31:24Z	
6.1		2023-03-28T11:43:46Z	
6.3		2023-10-06T20:21:07Z	
6.4		2024-03-28T11:45:43Z	
6.5		2024-09-27T13:20:09Z	
6.6		2025-03-28T14:20:51Z	
6.7		2025-10-09T16:41:14Z	
6.8		2026-05-05T14:57:45Z	
