0.0.100			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.100/quarkus-platform-bom-it-parent-0.0.100.jar returned status 404
0.0.101			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.101/quarkus-platform-bom-it-parent-0.0.101.jar returned status 404
0.0.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.102/quarkus-platform-bom-it-parent-0.0.102.jar returned status 404
0.0.103			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.103/quarkus-platform-bom-it-parent-0.0.103.jar returned status 404
0.0.104			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.104/quarkus-platform-bom-it-parent-0.0.104.jar returned status 404
0.0.105			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.105/quarkus-platform-bom-it-parent-0.0.105.jar returned status 404
0.0.106			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.106/quarkus-platform-bom-it-parent-0.0.106.jar returned status 404
0.0.107			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.107/quarkus-platform-bom-it-parent-0.0.107.jar returned status 404
0.0.108			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.108/quarkus-platform-bom-it-parent-0.0.108.jar returned status 404
0.0.109			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.109/quarkus-platform-bom-it-parent-0.0.109.jar returned status 404
0.0.110			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.110/quarkus-platform-bom-it-parent-0.0.110.jar returned status 404
0.0.111			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.111/quarkus-platform-bom-it-parent-0.0.111.jar returned status 404
0.0.112			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.112/quarkus-platform-bom-it-parent-0.0.112.jar returned status 404
0.0.113			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.113/quarkus-platform-bom-it-parent-0.0.113.jar returned status 404
0.0.114			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.114/quarkus-platform-bom-it-parent-0.0.114.jar returned status 404
0.0.115			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.115/quarkus-platform-bom-it-parent-0.0.115.jar returned status 404
0.0.116			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.116/quarkus-platform-bom-it-parent-0.0.116.jar returned status 404
0.0.117			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.117/quarkus-platform-bom-it-parent-0.0.117.jar returned status 404
0.0.118			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.118/quarkus-platform-bom-it-parent-0.0.118.jar returned status 404
0.0.119			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.119/quarkus-platform-bom-it-parent-0.0.119.jar returned status 404
0.0.120			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/quarkus/quarkus-platform-bom-it-parent/0.0.120/quarkus-platform-bom-it-parent-0.0.120.jar returned status 404
