1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.0/modules-1.0.0.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.1/modules-1.0.1.jar returned status 404
1.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.19/modules-1.0.19.jar returned status 404
1.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.2/modules-1.0.2.jar returned status 404
1.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.20/modules-1.0.20.jar returned status 404
1.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.21/modules-1.0.21.jar returned status 404
1.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.22/modules-1.0.22.jar returned status 404
1.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.23/modules-1.0.23.jar returned status 404
1.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.24/modules-1.0.24.jar returned status 404
1.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.25/modules-1.0.25.jar returned status 404
1.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.26/modules-1.0.26.jar returned status 404
1.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.27/modules-1.0.27.jar returned status 404
1.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/modules/1.0.28/modules-1.0.28.jar returned status 404
