0.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/schwarzit/lightsaber/io.github.schwarzit.lightsaber.gradle.plugin/0.0.11/io.github.schwarzit.lightsaber.gradle.plugin-0.0.11.jar returned status 404
0.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/schwarzit/lightsaber/io.github.schwarzit.lightsaber.gradle.plugin/0.0.12/io.github.schwarzit.lightsaber.gradle.plugin-0.0.12.jar returned status 404
0.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/schwarzit/lightsaber/io.github.schwarzit.lightsaber.gradle.plugin/0.0.13/io.github.schwarzit.lightsaber.gradle.plugin-0.0.13.jar returned status 404
0.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/schwarzit/lightsaber/io.github.schwarzit.lightsaber.gradle.plugin/0.0.14/io.github.schwarzit.lightsaber.gradle.plugin-0.0.14.jar returned status 404
0.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/schwarzit/lightsaber/io.github.schwarzit.lightsaber.gradle.plugin/0.0.15/io.github.schwarzit.lightsaber.gradle.plugin-0.0.15.jar returned status 404
0.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/schwarzit/lightsaber/io.github.schwarzit.lightsaber.gradle.plugin/0.0.16/io.github.schwarzit.lightsaber.gradle.plugin-0.0.16.jar returned status 404
0.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/schwarzit/lightsaber/io.github.schwarzit.lightsaber.gradle.plugin/0.0.17/io.github.schwarzit.lightsaber.gradle.plugin-0.0.17.jar returned status 404
0.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/schwarzit/lightsaber/io.github.schwarzit.lightsaber.gradle.plugin/0.0.18/io.github.schwarzit.lightsaber.gradle.plugin-0.0.18.jar returned status 404
0.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/schwarzit/lightsaber/io.github.schwarzit.lightsaber.gradle.plugin/0.0.19/io.github.schwarzit.lightsaber.gradle.plugin-0.0.19.jar returned status 404
0.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/schwarzit/lightsaber/io.github.schwarzit.lightsaber.gradle.plugin/0.0.20/io.github.schwarzit.lightsaber.gradle.plugin-0.0.20.jar returned status 404
0.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/schwarzit/lightsaber/io.github.schwarzit.lightsaber.gradle.plugin/0.0.21/io.github.schwarzit.lightsaber.gradle.plugin-0.0.21.jar returned status 404
0.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/schwarzit/lightsaber/io.github.schwarzit.lightsaber.gradle.plugin/0.0.22/io.github.schwarzit.lightsaber.gradle.plugin-0.0.22.jar returned status 404
