0.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.37/bridge-feature-oncall-impl-iosarm64-0.0.37.jar returned status 404
0.0.37	metadata	2025-12-13T20:03:34Z	
0.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.38/bridge-feature-oncall-impl-iosarm64-0.0.38.jar returned status 404
0.0.38	metadata	2025-12-15T11:37:16Z	
0.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.39/bridge-feature-oncall-impl-iosarm64-0.0.39.jar returned status 404
0.0.39	metadata	2025-12-15T21:06:27Z	
0.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.40/bridge-feature-oncall-impl-iosarm64-0.0.40.jar returned status 404
0.0.40	metadata	2025-12-16T10:54:40Z	
0.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.41/bridge-feature-oncall-impl-iosarm64-0.0.41.jar returned status 404
0.0.41	metadata	2025-12-16T15:14:24Z	
0.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.42/bridge-feature-oncall-impl-iosarm64-0.0.42.jar returned status 404
0.0.42	metadata	2025-12-17T15:30:24Z	
0.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.43/bridge-feature-oncall-impl-iosarm64-0.0.43.jar returned status 404
0.0.43	metadata	2025-12-18T13:32:53Z	
0.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.44/bridge-feature-oncall-impl-iosarm64-0.0.44.jar returned status 404
0.0.44	metadata	2025-12-22T13:42:24Z	
0.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.45/bridge-feature-oncall-impl-iosarm64-0.0.45.jar returned status 404
0.0.45	metadata	2025-12-22T20:43:14Z	
0.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.47/bridge-feature-oncall-impl-iosarm64-0.0.47.jar returned status 404
0.0.47	metadata	2025-12-23T18:25:40Z	
0.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.48/bridge-feature-oncall-impl-iosarm64-0.0.48.jar returned status 404
0.0.48	metadata	2025-12-25T11:46:49Z	
0.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.49/bridge-feature-oncall-impl-iosarm64-0.0.49.jar returned status 404
0.0.49	metadata	2026-01-13T15:39:35Z	
0.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.50/bridge-feature-oncall-impl-iosarm64-0.0.50.jar returned status 404
0.0.50	metadata	2026-01-14T11:42:36Z	
0.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.51/bridge-feature-oncall-impl-iosarm64-0.0.51.jar returned status 404
0.0.51	metadata	2026-01-14T15:19:27Z	
0.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.52/bridge-feature-oncall-impl-iosarm64-0.0.52.jar returned status 404
0.0.52	metadata	2026-01-19T13:22:41Z	
0.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.53/bridge-feature-oncall-impl-iosarm64-0.0.53.jar returned status 404
0.0.53	metadata	2026-01-19T16:08:24Z	
0.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.54/bridge-feature-oncall-impl-iosarm64-0.0.54.jar returned status 404
0.0.54	metadata	2026-01-21T17:06:56Z	
0.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/net/flipper/busylib/kmp/bridge-feature-oncall-impl-iosarm64/0.0.55/bridge-feature-oncall-impl-iosarm64-0.0.55.jar returned status 404
0.0.55	metadata	2026-01-21T17:15:22Z	
