2022.7.0	named	org.nasdanika.core	emf	2022-07-24T19:34:44Z	2022.7.0
2022.8.0	named	org.nasdanika.core	emf	2022-08-01T23:49:23Z	2022.8.0
2022.9.0	named	org.nasdanika.core	emf	2022-09-17T18:55:17Z	2022.9.0
2022.10.0	named	org.nasdanika.core	emf	2022-10-25T23:47:20Z	2022.10.0
2023.1.0	named	org.nasdanika.core	emf	2023-01-10T13:21:29Z	2023.1.0
2023.1.1	named	org.nasdanika.core	emf	2023-01-16T18:19:27Z	2023.1.1
2023.1.2	named	org.nasdanika.core	emf	2023-01-23T13:30:12Z	2023.1.2
2023.1.3	named	org.nasdanika.core	emf	2023-01-29T00:00:51Z	2023.1.3
2023.2.0	named	org.nasdanika.core	emf	2023-02-20T18:01:06Z	2023.2.0
2023.3.0	named	org.nasdanika.core	emf	2023-03-12T17:09:55Z	2023.3.0
2023.4.0	named	org.nasdanika.core	emf	2023-03-31T11:23:22Z	2023.4.0
2023.8.0	named	org.nasdanika.core	emf	2023-08-26T23:10:40Z	2023.8.0
2023.9.0	named	org.nasdanika.core	emf	2023-09-04T15:59:14Z	2023.9.0
2023.9.1	named	org.nasdanika.core	emf	2023-09-16T21:10:09Z	2023.9.1
2023.10.0	named	org.nasdanika.core	emf	2023-10-18T18:14:20Z	2023.10.0
2023.12.0	named	org.nasdanika.core	emf	2023-12-03T23:18:39Z	2023.12.0
2023.12.1	named	org.nasdanika.core	emf	2023-12-27T18:47:33Z	2023.12.1
2024.1.0	named	org.nasdanika.core	emf	2024-01-28T10:48:13Z	2024.1.0
2024.3.0	named	org.nasdanika.core	emf	2024-03-10T18:41:49Z	2024.3.0
2024.3.1	named	org.nasdanika.core	emf	2024-03-11T16:04:40Z	2024.3.1
2024.4.0	named	org.nasdanika.core	emf	2024-04-09T14:10:00Z	2024.4.0
2024.5.0	named	org.nasdanika.core	emf	2024-05-11T11:24:31Z	2024.5.0
2024.5.1	named	org.nasdanika.core	emf	2024-05-30T09:41:51Z	2024.5.1
2024.6.0	named	org.nasdanika.core	emf	2024-06-23T15:28:20Z	2024.6.0
2024.7.0	named	org.nasdanika.core	emf	2024-07-06T22:39:40Z	2024.7.0
2024.7.1	named	org.nasdanika.core	emf	2024-07-23T14:34:18Z	2024.7.1
2024.8.0	named	org.nasdanika.core	emf	2024-08-28T18:57:51Z	2024.8.0
2024.9.0	named	org.nasdanika.core	emf	2024-09-14T23:32:24Z	2024.9.0
2024.10.0	named	org.nasdanika.core	emf	2024-10-13T14:27:14Z	2024.10.0
2024.11.0	named	org.nasdanika.core	emf	2024-11-02T19:05:12Z	2024.11.0
2024.11.1	named	org.nasdanika.core	emf	2024-12-01T22:48:00Z	2024.11.1
2024.12.0	named	org.nasdanika.core	emf	2024-12-30T13:41:53Z	2024.12.0
2025.1.0	named	org.nasdanika.core	emf	2025-01-28T02:05:53Z	2025.1.0
2025.2.0	named	org.nasdanika.core	emf	2025-02-27T22:21:52Z	2025.2.0
2025.3.0	named	org.nasdanika.core	emf	2025-03-30T03:56:11Z	2025.3.0
2025.4.0	named	org.nasdanika.core	emf	2025-04-20T15:23:13Z	2025.4.0
2025.5.0	named	org.nasdanika.core	emf	2025-05-19T16:58:48Z	2025.5.0
2025.6.0	named	org.nasdanika.core	emf	2025-06-17T12:30:17Z	2025.6.0
2025.7.0	named	org.nasdanika.core	emf	2025-07-27T20:56:04Z	2025.7.0
2025.10.0	named	org.nasdanika.core	emf	2025-10-12T09:04:09Z	2025.10.0
2025.12.0	named	org.nasdanika.core	emf	2025-12-10T23:45:11Z	2025.12.0
2026.2.0	named	org.nasdanika.core	emf	2026-03-03T03:25:45Z	2026.2.0
