3.6.800	automatic	org.eclipse.platform	org.eclipse.core.variables
3.6.700	automatic	org.eclipse.platform	org.eclipse.core.variables
3.6.600	automatic	org.eclipse.platform	org.eclipse.core.variables
3.6.500	automatic	org.eclipse.platform	org.eclipse.core.variables
3.6.400	automatic	org.eclipse.platform	org.eclipse.core.variables
3.6.300	automatic	org.eclipse.platform	org.eclipse.core.variables
3.6.200	automatic	org.eclipse.platform	org.eclipse.core.variables
3.6.100	automatic	org.eclipse.platform	org.eclipse.core.variables
3.6.0	automatic	org.eclipse.platform	org.eclipse.core.variables
3.5.100	automatic	org.eclipse.platform	org.eclipse.core.variables
3.5.0	automatic	org.eclipse.platform	org.eclipse.core.variables
3.4.800	automatic	org.eclipse.platform	org.eclipse.core.variables
3.4.700	automatic	org.eclipse.platform	org.eclipse.core.variables
3.4.600	automatic	org.eclipse.platform	org.eclipse.core.variables
3.4.500	automatic	org.eclipse.platform	org.eclipse.core.variables
3.4.400	automatic	org.eclipse.platform	org.eclipse.core.variables
3.4.300	automatic	org.eclipse.platform	org.eclipse.core.variables
3.4.200	automatic	org.eclipse.platform	org.eclipse.core.variables
3.4.100	automatic	org.eclipse.platform	org.eclipse.core.variables
